drug_name,,side_effects,generic_name,drug_classes,brand_names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyzine,,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, hydroxyzine may cause a severe skin reaction. Stop taking this medicine and call your doctor right away if you have sudden skin redness or a rash that spreads and causes white or yellow pustules, blistering, or peeling. Stop using hydroxyzine and call your doctor at once if you have: fast or pounding heartbeats; headache with chest pain; severe dizziness, fainting; or a seizure (convulsions). Side effects such as drowsiness and confusion may be more likely in older adults. Common hydroxyzine side effects may include: drowsiness; headache; dry mouth; or skin rash.",hydroxyzine,"Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics","Vistaril, Atarax, Hyzine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levocetirizine,,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Levocetirizine may cause serious side effects. Stop using levocetirizine and call your doctor at once if you have: worsening allergy or urticaria symptoms; painful or difficult urination; little or no urination; a light-headed feeling, like you might pass out; fever; or signs of an ear infection--ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common side effects of levocetirizine may include: drowsiness, tiredness; sinus pain; ear infection; cough; fever; nosebleed; vomiting , diarrhea , constipation ; dry mouth; or weight gain.",levocetirizine,Antihistamines,Xyzal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loratadine,,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: fast or uneven heart rate; severe headache; or a light-headed feeling, like you might pass out; Common loratadine side effects may include: headache; feeling tired or drowsy; stomach pain, vomiting; dry mouth; or feeling nervous or hyperactive.",loratadine,Antihistamines,"Alavert, Claritin, ohm Allergy Relief, Tavist ND, Wal-itin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xyzal,,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: worsening allergy or urticaria symptoms; painful or difficult urination; little or no urination; a light-headed feeling, like you might pass out; fever; or signs of an ear infection - ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common Xyzal side effects may include: drowsiness, tiredness; sinus pain; ear infection; cough; fever; nosebleed; vomiting , diarrhea , constipation ; dry mouth; or weight gain .",levocetirizine,Antihistamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxylamine,,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Doxylamine may cause serious side effects. Call your doctor at once if you have: confusion, hallucinations; severe dizziness or drowsiness; or little or no urinating. Common side effects of doxylamine may include: blurred vision; dry mouth, nose, or throat; constipation ; or mild dizziness or drowsiness. Side effects such as dry mouth, constipation, and confusion may be more likely in older adults.",doxylamine,"Miscellaneous anxiolytics, sedatives and hypnotics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corticotropin,,"hives ; nausea , feeling light-headed; difficulty breathing; swelling of your face, lips, tongue, or throat. Corticotropin may cause serious side effects. Call your doctor at once if you have: fever, chills, sore throat , skin warmth or redness, or other signs of an infection; unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain , or seeing halos around lights; a seizure; decreased or increased adrenal gland hormones --changes in weight or appetite, tiredness, muscle weakness, skin discoloration, thinning skin, increased body hair, menstrual changes, loss of appetite, stomach pain; high blood pressure--severe headache , blurred vision, pounding in your neck or ears; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; signs of eye infection--swelling, redness, severe discomfort, crusting or drainage; or signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. Be sure your family, caregivers, and close friends also know how to help you watch for these side effects. Corticotropin can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using corticotropin. Common side effects of corticotropin may include: increased blood pressure; thinning skin, increased sweating; fluid retention (swelling in your hands or feet, puffiness in your face); mood changes, irritability; increased appetite; or weight gain.",corticotropin,Corticotropin,"Acthar, ACTH Gel, ACTH-80, ACTH-40 HP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acthar,,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of infection like fever, chills, very bad sore throat , ear or sinus pain, cough, more sputum or change in color of sputum, pain with passing urine, mouth sores, or wound that will not heal. Signs of high blood sugar like confusion, feeling sleepy, more thirst, more hungry, passing urine more often, flushing, fast breathing, or breath that smells like fruit. Signs of a weak adrenal gland like a very bad upset stomach or throwing up, very bad dizziness or passing out, muscle weakness, feeling very tired, mood changes, not hungry, or weight loss . Signs of Cushing's disease like weight gain in the upper back or belly, moon face, very bad headache , or slow healing. Signs of high or low blood pressure like very bad headache or dizziness, passing out, or change in eyesight. Signs of low potassium levels like muscle pain or weakness, muscle cramps, or a heartbeat that does not feel normal. Shortness of breath, a big weight gain, or swelling in the arms or legs. Stomach pain. Black, tarry, or bloody stools. Throwing up blood or throw up that looks like coffee grounds. Change in eyesight. Mental, mood, or behavior changes that are new or worse. Bone or joint pain. Seizures . Acthar side effects",Corticotropin,Corticotropin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorpheniramine / ibuprofen / phenylephrine,,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Incidence not known Bloody or black, tarry stools chest pain or tightness confusion constipation cough decrease urine output diarrhea difficulty in speaking difficulty swallowing dilated neck veins dizziness double vision fast heartbeat headache heartburn hives, itching, skin rash inability to speak inability to move the arms, legs, or facial muscles indigestion irregular breathing nausea puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue severe stomach pain, cramping, or burning swelling of the face, fingers, feet, or lower legs trouble breathing unusual tiredness or weakness vomiting of blood or material that looks like coffee grounds weight gain Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Nervousness trouble sleeping unusual excitement, especially in children Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Chlorpheniramine / ibuprofen / phenylephrine side effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexbrompheniramine,,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dexbrompheniramine may cause serious side effects. Stop using dexbrompheniramine and call your doctor at once if you have: fast or uneven heart rate; mood changes; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; feeling short of breath; or little or no urination. Common side effects of dexbrompheniramine may include: drowsiness; dry mouth, nose, or throat; constipation ; blurred vision; or feeling restless or excited (especially in children).",dexbrompheniramine,Antihistamines,Ala-Hist IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ala-Hist IR,,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ala Hist IR may cause serious side effects. Stop using Ala Hist IR and call your doctor at once if you have: fast or uneven heart rate; mood changes; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; feeling short of breath; or little or no urination. Common side effects of Ala Hist IR may include: drowsiness; dry mouth, nose, or throat; constipation ; blurred vision; or feeling restless or excited (especially in children).",dexbrompheniramine,Antihistamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexbrompheniramine / phenylephrine,,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: fast or irregular heartbeats; confusion, hallucinations; a seizure; ringing in your ears; or little or no urination. Common side effects of dexbrompheniramine and phenylephrine may include: headache, dizziness , drowsiness; blurred vision, double vision; dry mouth, nose, or throat; constipation , upset stomach ; or trouble sleeping.",dexbrompheniramine and phenylephrine,Upper respiratory combinations,Ala-Hist PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equaline Sleep Aid,,,doxylamine succinate,"Miscellaneous anxiolytics, sedatives and hypnotics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equate Sleep Aid,,,doxylamine succinate,"Miscellaneous anxiolytics, sedatives and hypnotics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
